Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
6704
Loop Step: 0.0060 | Loop Time: 125.3380 | Pressure: 0.14955383
Loop Step: 0.0060 | Loop Time: 125.3440 | Pressure: 0.14930969
Loop Step: 0.0060 | Loop Time: 125.3500 | Pressure: 0.18196350
Loop Step: 0.0060 | Loop Time: 125.3560 | Pressure: 0.19343811
Loop Step: 0.0060 | Loop Time: 125.3620 | Pressure: 0.22053772
Loop Step: 0.0060 | Loop Time: 125.3680 | Pressure: 0.24226624
Loop Step: 0.0060 | Loop Time: 125.3740 | Pressure: 0.26832825
Loop Step: 0.0060 | Loop Time: 125.3800 | Pressure: 0.27443176
Loop Step: 0.0060 | Loop Time: 125.3860 | Pressure: 0.29085022
Loop Step: 0.0060 | Loop Time: 125.3920 | Pressure: 0.29713684
Loop Step: 0.0060 | Loop Time: 125.3980 | Pressure: 0.27638489
Loop Step: 0.0060 | Loop Time: 125.4040 | Pressure: 0.26027161
Loop Step: 0.0060 | Loop Time: 125.4100 | Pressure: 0.31318909
Loop Step: 0.0060 | Loop Time: 125.4160 | Pressure: 0.33778625
Loop Step: 0.0060 | Loop Time: 125.4220 | Pressure: 0.35560852
Loop Step: 0.0060 | Loop Time: 125.4280 | Pressure: 0.29945618
Loop Step: 0.0060 | Loop Time: 125.4340 | Pressure: 0.27357727
Loop Step: 0.0060 | Loop Time: 125.4400 | Pressure: 0.28492981
Loop Step: 0.0060 | Loop Time: 125.4460 | Pressure: 0.24684387
Loop Step: 0.0060 | Loop Time: 125.4520 | Pressure: 0.26686340
Loop Step: 0.0060 | Loop Time: 125.4580 | Pressure: 0.26680237
Loop Step: 0.0060 | Loop Time: 125.4640 | Pressure: 0.27662903
Loop Step: 0.0060 | Loop Time: 125.4700 | Pressure: 0.29689270
Loop Step: 0.0060 | Loop Time: 125.4760 | Pressure: 0.35371643
Loop Step: 0.0060 | Loop Time: 125.4820 | Pressure: 0.35609680
Loop Step: 0.0060 | Loop Time: 125.4880 | Pressure: 0.29194885
Loop Step: 0.0060 | Loop Time: 125.4940 | Pressure: 0.36146790
Loop Step: 0.0060 | Loop Time: 125.5000 | Pressure: 0.39656311
Loop Step: 0.0060 | Loop Time: 125.5060 | Pressure: 0.40992981
Loop Step: 0.0060 | Loop Time: 125.5120 | Pressure: 0.37678772
Loop Step: 0.0060 | Loop Time: 125.5180 | Pressure: 0.41182190
Loop Step: 0.0060 | Loop Time: 125.5240 | Pressure: 0.40565735
Loop Step: 0.0060 | Loop Time: 125.5300 | Pressure: 0.41505676
Loop Step: 0.0060 | Loop Time: 125.5360 | Pressure: 0.47499329
Loop Step: 0.0060 | Loop Time: 125.5420 | Pressure: 0.42378479
Loop Step: 0.0060 | Loop Time: 125.5480 | Pressure: 0.37428528
Loop Step: 0.0060 | Loop Time: 125.5540 | Pressure: 0.36384827
Loop Step: 0.0060 | Loop Time: 125.5600 | Pressure: 0.36909729
Loop Step: 0.0060 | Loop Time: 125.5660 | Pressure: 0.37013489
Loop Step: 0.0060 | Loop Time: 125.5720 | Pressure: 0.60524231
Loop Step: 0.0060 | Loop Time: 125.5780 | Pressure: 0.40291077
Loop Step: 0.0060 | Loop Time: 125.5840 | Pressure: 0.40962463
Loop Step: 0.0060 | Loop Time: 125.5900 | Pressure: 0.43580872
Loop Step: 0.0060 | Loop Time: 125.5960 | Pressure: 0.43715149
Loop Step: 0.0060 | Loop Time: 125.6020 | Pressure: 0.41884094
Loop Step: 0.0060 | Loop Time: 125.6080 | Pressure: 0.44923645
