Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 70.6230 | Pressure: 1.10584839
Loop Step: 0.0060 | Loop Time: 70.6290 | Pressure: 1.16859253
Loop Step: 0.0060 | Loop Time: 70.6350 | Pressure: 1.07783325
Loop Step: 0.0060 | Loop Time: 70.6410 | Pressure: 1.14216431
Loop Step: 0.0060 | Loop Time: 70.6470 | Pressure: 1.13715942
Loop Step: 0.0060 | Loop Time: 70.6530 | Pressure: 1.19495972
Loop Step: 0.0060 | Loop Time: 70.6590 | Pressure: 1.19105347
Loop Step: 0.0060 | Loop Time: 70.6650 | Pressure: 1.22907837
Loop Step: 0.0060 | Loop Time: 70.6710 | Pressure: 1.28223999
Loop Step: 0.0060 | Loop Time: 70.6770 | Pressure: 1.18800171
Loop Step: 0.0060 | Loop Time: 70.6830 | Pressure: 0.38038452
Loop Step: 0.0060 | Loop Time: 70.6890 | Pressure: 1.25947388
Loop Step: 0.0060 | Loop Time: 70.6950 | Pressure: 1.23438843
Loop Step: 0.0060 | Loop Time: 70.7010 | Pressure: 1.27845581
Loop Step: 0.0060 | Loop Time: 70.7070 | Pressure: 1.29432495
Loop Step: 0.0060 | Loop Time: 70.7130 | Pressure: 1.26374634
Loop Step: 0.0060 | Loop Time: 70.7190 | Pressure: 1.29322632
Loop Step: 0.0060 | Loop Time: 70.7250 | Pressure: 1.39265259
Loop Step: 0.0060 | Loop Time: 70.7310 | Pressure: 1.41718872
Loop Step: 0.0060 | Loop Time: 70.7370 | Pressure: 1.37336548
Loop Step: 0.0060 | Loop Time: 70.7430 | Pressure: 1.39338501
Loop Step: 0.0060 | Loop Time: 70.7490 | Pressure: 1.37617310
Loop Step: 0.0060 | Loop Time: 70.7550 | Pressure: 1.36897095
Loop Step: 0.0060 | Loop Time: 70.7610 | Pressure: 1.45533569
Loop Step: 0.0060 | Loop Time: 70.7670 | Pressure: 1.43256958
Loop Step: 0.0060 | Loop Time: 70.7730 | Pressure: 1.48786743
Loop Step: 0.0060 | Loop Time: 70.7790 | Pressure: 1.45429810
Loop Step: 0.0060 | Loop Time: 70.7850 | Pressure: 1.18275269
Loop Step: 0.0060 | Loop Time: 70.7910 | Pressure: 1.45057495
Loop Step: 0.0060 | Loop Time: 70.7970 | Pressure: 1.48011597
Loop Step: 0.0060 | Loop Time: 70.8030 | Pressure: 1.49433716
Loop Step: 0.0060 | Loop Time: 70.8090 | Pressure: 1.48914917
Loop Step: 0.0060 | Loop Time: 70.8150 | Pressure: 1.43928345
Loop Step: 0.0060 | Loop Time: 70.8210 | Pressure: 1.50733765
Loop Step: 0.0060 | Loop Time: 70.8270 | Pressure: 1.48695190
Loop Step: 0.0060 | Loop Time: 70.8330 | Pressure: 1.45930298
Loop Step: 0.0060 | Loop Time: 70.8390 | Pressure: 1.51698120
Loop Step: 0.0060 | Loop Time: 70.8450 | Pressure: 1.51795776
Loop Step: 0.0060 | Loop Time: 70.8510 | Pressure: 1.52949341
Loop Step: 0.0060 | Loop Time: 70.8570 | Pressure: 1.60700806
Loop Step: 0.0060 | Loop Time: 70.8630 | Pressure: 1.67756470
Loop Step: 0.0060 | Loop Time: 70.8690 | Pressure: 1.66755493
Loop Step: 0.0060 | Loop Time: 70.8750 | Pressure: 1.65138062
Loop Step: 0.0060 | Loop Time: 70.8810 | Pressure: 1.65870483
Loop Step: 0.0060 | Loop Time: 70.8870 | Pressure: 2.46314819
Loop Step: 0.0060 | Loop Time: 70.8930 | Pressure: 1.46424683
Loop Step: 0.0060 | Loop Time: 70.8990 | Pressure: 1.62080200
Loop Step: 0.0060 | Loop Time: 70.9050 | Pressure: 1.68910034
Loop Step: 0.0060 | Loop Time: 70.9110 | Pressure: 1.64845093
Loop Step: 0.0060 | Loop Time: 70.9170 | Pressure: 1.65223511
Loop Step: 0.0060 | Loop Time: 70.9230 | Pressure: 1.66047485
Loop Step: 0.0060 | Loop Time: 70.9290 | Pressure: 1.64198120
Loop Step: 0.0060 | Loop Time: 70.9350 | Pressure: 1.77448853
Loop Step: 0.0060 | Loop Time: 70.9410 | Pressure: 1.74696167
Loop Step: 0.0060 | Loop Time: 70.9470 | Pressure: 1.80280884
Loop Step: 0.0060 | Loop Time: 70.9530 | Pressure: 1.76191528
Loop Step: 0.0060 | Loop Time: 70.9590 | Pressure: 1.76222046
Loop Step: 0.0060 | Loop Time: 70.9650 | Pressure: 1.77998169
Loop Step: 0.0060 | Loop Time: 70.9710 | Pressure: 1.75117310
Loop Step: 0.0060 | Loop Time: 70.9770 | Pressure: 1.83180054
Loop Step: 0.0060 | Loop Time: 70.9830 | Pressure: 1.73188599
Loop Step: 0.0060 | Loop Time: 70.9890 | Pressure: 1.84571655
