Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 42.25 | Pressure: 0.36 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.27 | Pressure: 0.35 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.29 | Pressure: 0.42 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.30 | Pressure: 0.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.32 | Pressure: 0.40 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.34 | Pressure: 0.41 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.36 | Pressure: 0.37 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.38 | Pressure: 0.45 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.39 | Pressure: 0.46 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.41 | Pressure: 0.49 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.43 | Pressure: 0.44 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.45 | Pressure: 0.47 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.47 | Pressure: 0.40 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.48 | Pressure: 0.53 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.50 | Pressure: 0.48 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.52 | Pressure: 0.46 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.54 | Pressure: 0.54 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.55 | Pressure: 0.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.57 | Pressure: 0.77 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.59 | Pressure: 0.63 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.61 | Pressure: 0.55 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.63 | Pressure: 0.62 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.65 | Pressure: 0.66 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.66 | Pressure: 0.59 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.68 | Pressure: 0.66 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.70 | Pressure: 0.57 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.72 | Pressure: 0.64 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.73 | Pressure: 0.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.75 | Pressure: 0.65 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.77 | Pressure: 0.69 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.79 | Pressure: 0.62 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.81 | Pressure: 0.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.83 | Pressure: 0.64 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.84 | Pressure: 0.65 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.86 | Pressure: 0.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.88 | Pressure: 1.18 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.90 | Pressure: 0.81 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.91 | Pressure: 0.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.93 | Pressure: 0.78 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.95 | Pressure: 0.76 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.97 | Pressure: 0.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.99 | Pressure: 0.83 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.01 | Pressure: 0.80 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.02 | Pressure: 0.81 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.04 | Pressure: 0.84 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.06 | Pressure: 0.82 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.08 | Pressure: 0.86 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.09 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.11 | Pressure: 0.90 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.13 | Pressure: 0.92 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.15 | Pressure: 0.87 | Solenoid: PRESSURIZE
