Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.018 | Loop Time: 37.32 | Pressure: 1.48 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.33 | Pressure: 1.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.35 | Pressure: 1.57 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.37 | Pressure: 1.47 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.39 | Pressure: 1.48 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.41 | Pressure: 1.57 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.42 | Pressure: 1.46 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.44 | Pressure: 1.54 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.46 | Pressure: 1.52 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.48 | Pressure: 1.60 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.50 | Pressure: 1.54 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.51 | Pressure: 1.56 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.53 | Pressure: 1.55 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.55 | Pressure: 1.59 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.57 | Pressure: 1.62 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.59 | Pressure: 1.55 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.60 | Pressure: 1.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.62 | Pressure: 1.61 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.64 | Pressure: 1.69 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.66 | Pressure: 1.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.68 | Pressure: 1.68 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.69 | Pressure: 1.70 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.71 | Pressure: 1.67 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.73 | Pressure: 1.70 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.75 | Pressure: 1.66 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.77 | Pressure: 2.14 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.78 | Pressure: 1.70 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.80 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.82 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.84 | Pressure: 1.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.86 | Pressure: 1.76 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.87 | Pressure: 1.96 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.89 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.91 | Pressure: 1.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.93 | Pressure: 1.72 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.95 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.96 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.98 | Pressure: 1.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.00 | Pressure: 1.79 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.02 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.04 | Pressure: 1.82 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.05 | Pressure: 1.76 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.07 | Pressure: 2.11 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.09 | Pressure: 1.85 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.11 | Pressure: 1.80 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.13 | Pressure: 1.81 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 38.14 | Pressure: 1.79 | Solenoid: PRESSURIZE
